,Date,Round,Home,Away,Home Score,Away Score,Home Elo Pre,Away Elo Pre,Home Elo Pre + Advantage,Home Elo Post,Away Elo Post,Home Elo Change,Away Elo Change,Result,Year
147,2012-07-28,R18,GWS,Collingwood,54,174,1219.88,1581.34,1269.88,1206.2,1595.03,-13.69,13.69,Away Win,2012
148,2012-07-28,R18,Carlton,Richmond,95,91,1482.03,1531.16,1532.03,1486.66,1526.52,4.64,-4.64,Home Win,2012
149,2012-07-28,R18,Gold Coast,Sydney,54,126,1257.77,1676.94,1307.77,1251.17,1683.53,-6.59,6.59,Away Win,2012
150,2012-07-29,R18,Port Adelaide,Fremantle,48,75,1410.73,1508.58,1410.73,1397.83,1521.48,-12.9,12.9,Away Win,2012
151,2012-07-29,R18,St Kilda,Footscray,118,42,1574.0,1361.8,1624.0,1587.33,1348.47,13.33,-13.33,Home Win,2012
152,2012-07-29,R18,West Coast,Brisbane Lions,175,77,1563.84,1465.41,1613.84,1592.98,1436.27,29.14,-29.14,Home Win,2012
153,2012-08-03,R19,Hawthorn,Geelong,116,118,1734.96,1596.62,1784.96,1730.64,1600.94,-4.32,4.32,Away Win,2012
154,2012-08-04,R19,Brisbane Lions,Richmond,84,132,1436.27,1526.52,1486.27,1411.52,1551.27,-24.75,24.75,Away Win,2012
155,2012-08-04,R19,Collingwood,St Kilda,91,85,1595.03,1587.33,1645.03,1600.28,1582.08,5.25,-5.25,Home Win,2012
156,2012-08-04,R19,GWS,Port Adelaide,107,73,1206.2,1397.83,1256.2,1233.75,1370.27,27.55,-27.55,Home Win,2012
157,2012-08-04,R19,Footscray,North Melbourne,61,115,1348.47,1565.04,1398.47,1332.92,1580.58,-15.54,15.54,Away Win,2012
158,2012-08-04,R19,Fremantle,West Coast,113,48,1521.48,1592.98,1571.48,1559.71,1554.74,38.24,-38.24,Home Win,2012
159,2012-08-05,R19,Melbourne,Gold Coast,108,66,1290.68,1251.17,1340.68,1310.27,1231.58,19.59,-19.59,Home Win,2012
160,2012-08-05,R19,Carlton,Sydney,71,93,1486.66,1683.53,1536.66,1478.16,1692.03,-8.5,8.5,Away Win,2012
161,2012-08-05,R19,Adelaide,Essendon,104,100,1647.12,1532.13,1647.12,1650.13,1529.12,3.01,-3.01,Home Win,2012
162,2012-08-10,R20,West Coast,Geelong,102,97,1554.74,1600.94,1604.74,1560.08,1595.6,5.33,-5.33,Home Win,2012
163,2012-08-11,R20,Sydney,Collingwood,70,78,1692.03,1600.28,1742.03,1682.04,1610.27,-9.99,9.99,Away Win,2012
164,2012-08-11,R20,Carlton,Brisbane Lions,113,77,1478.16,1411.52,1528.16,1493.55,1396.13,15.39,-15.39,Home Win,2012
165,2012-08-11,R20,Gold Coast,GWS,109,79,1231.58,1233.75,1281.58,1249.5,1215.83,17.92,-17.92,Home Win,2012
166,2012-08-11,R20,Adelaide,Fremantle,119,91,1650.13,1559.71,1650.13,1663.84,1546.0,13.71,-13.71,Home Win,2012
167,2012-08-11,R20,St Kilda,Melbourne,107,82,1582.08,1310.27,1582.08,1587.21,1305.14,5.13,-5.13,Home Win,2012
168,2012-08-12,R20,Hawthorn,Port Adelaide,159,87,1730.64,1370.27,1780.64,1736.16,1364.76,5.52,-5.52,Home Win,2012
169,2012-08-12,R20,Richmond,Footscray,150,80,1551.27,1332.92,1601.27,1563.35,1320.84,12.08,-12.08,Home Win,2012
